Date,Description,Amount
2025-03-14,Tata Sky,6426.74
2025-05-23,Airtel DTH,4426.74
2025-03-22,Netflix Subscription,934.05
2025-05-06,Myntra,9769.72
2025-05-02,Ola Ride,3000.66
2025-06-17,HDFC Credit Card Bill,4045.06
2025-04-05,Tata Power Bill,6809.36
2025-08-04,Bharat Petroleum,2293.68
2025-07-02,ITC Hotels,4088.14
2025-03-04,DMart,6590.46
2025-07-31,DishTV,3078.97
2025-08-06,INOX,1257.64
2025-03-19,Taj Hotels,2515.64
2025-04-10,Tuition Fee - Maths,5795.24
2025-06-17,Zomato,7809.36
2025-05-15,Tata Sky,8596.91
2025-06-06,Zara,1394.25
2025-04-21,HP Petrol Pump,4738.67
2025-04-04,1mg,1593.86
2025-02-17,INOX,657.22
2025-06-12,College Fee - XYZ University,1303.64
2025-02-27,Local Kirana Store,3253.16
2025-02-22,1mg,297.39
2025-02-12,Bangalore Water Supply,3781.86
2025-08-05,College Fee - XYZ University,228.8
2025-06-07,PG Rent - Happy Homes,8825.86
2025-03-29,Netflix Subscription,2233.81
2025-05-21,Movie Ticket - PVR,9778.04
2025-03-04,IRCTC Ticket,3986.65
2025-07-17,HDFC Home Loan,8949.31
2025-06-23,Temple Donation,7544.39
2025-05-28,Bharat Petroleum,9559.86
2025-03-09,BSNL Recharge,2355.85
2025-04-22,Croma,7842.07
2025-06-01,Gold's Gym,8142.74
2025-05-09,SBI Card Payment,3168.66
2025-05-25,Apple Store,4509.49
2025-06-26,Netflix Subscription,490.54
2025-03-04,Local Kirana Store,5823.72
2025-03-17,Local Kirana Store,2880.92
2025-03-01,Delhi Jal Board,6602.91
2025-05-05,BSNL Recharge,5156.25
2025-06-12,1mg,2637.49
2025-05-15,ITC Hotels,6866.64
2025-04-26,Tuition Fee - Science,8491.44
2025-02-25,BSES Bill Payment,7879.14
2025-08-11,Taj Hotels,9166.59
2025-04-24,Axis Bank Car Loan EMI,4433.9
2025-05-31,Axis Bank Car Loan EMI,3498.87
2025-04-08,Airtel DTH,91.02
2025-07-25,HP Petrol Pump,4795.55
2025-06-22,Bangalore Water Supply,5248.62
2025-05-20,HP Petrol Pump,229.12
2025-04-01,School Fee - DPS,3380.74
2025-08-05,JioFiber,2631.32
2025-03-17,ITC Hotels,7328.19
2025-07-11,Diagnostic Lab,1518.03
2025-07-28,HP Petrol Pump,1342.42
2025-04-28,Netflix Subscription,65.13
2025-03-09,Cleartrip,1860.97
2025-06-25,Pantaloons,1423.98
2025-07-03,BSES Bill Payment,424.71
2025-03-28,Tata Sky,8603.54
2025-07-07,DishTV,7954.34
2025-04-15,DishTV,4984.25
2025-07-18,Bangalore Water Supply,9458.1
2025-02-23,Home Centre,5594.46
2025-03-10,HP Petrol Pump,1671.91
2025-07-08,Pantaloons,5093.53
2025-05-18,DishTV,8209.21
2025-07-21,Gold's Gym,8716.84
2025-03-25,Cleartrip,5158.42
2025-03-01,Apollo Pharmacy,8782.52
2025-07-15,Delhi Jal Board,3043.86
2025-04-14,Gold's Gym,4175.19
2025-02-26,Airtel Recharge,1739.59
2025-08-07,Reliance Fresh,6433.89
2025-05-06,Indian Oil,2822.83
2025-06-07,Cleartrip,4163.4
2025-08-05,BSES Rajdhani,2491.54
2025-05-07,Delhi Jal Board,9948.74
2025-06-27,Gold's Gym,260.29
2025-07-07,Tata Power Bill,9714.81
2025-02-12,Tuition Fee - Science,9838.53
2025-06-21,Bharat Petroleum,3986.16
2025-02-16,LIC Premium,6471.8
2025-06-07,Anytime Fitness,9300.47
2025-02-22,Tata Sky,6646.11
2025-06-25,Jio Recharge,8973.67
2025-07-20,Amazon,6450.62
2025-02-20,DishTV,5218.83
2025-04-02,Tuition Fee - Science,6516.98
2025-02-25,Croma,7820.06
2025-03-25,HP Petrol Pump,3027.84
2025-03-03,Zara,388.88
2025-02-24,Disney+ Hotstar,7793.65
2025-05-07,Apollo Pharmacy,7850.87
2025-05-28,Airtel DTH,8630.73
2025-06-15,HDFC Credit Card Bill,1348.64
2025-04-11,Indian Oil Petrol Pump,1517.27
2025-08-09,Airtel Broadband,5387.56
2025-04-16,INOX,7372.87
2025-06-05,Netflix Subscription,4232.06
2025-04-24,Monthly Rent - Mr. Sharma,9618.08
2025-03-13,School Fee - DPS,1268.07
2025-05-15,Vijay Sales,2490.14
2025-02-27,HP Petrol Pump,8636.52
2025-08-09,Pizza Hut,6255.1
2025-03-24,Monthly Rent - Mr. Sharma,9439.23
2025-03-30,Airtel DTH,3561.78
2025-07-06,SBI General Insurance,5933.91
2025-05-05,Myntra,9427.79
2025-07-07,Tuition Fee - Science,9281.78
2025-07-15,Adani Electricity,3195.28
2025-05-22,HDFC Home Loan,773.69
2025-04-06,IKEA,997.2
2025-03-18,OYO Rooms,7144.79
2025-02-17,SBI General Insurance,4224.78
2025-05-26,Haldiram's,2805.46
2025-02-26,Hospital Fee,9896.21
2025-03-28,Disney+ Hotstar,7710.24
2025-03-02,Big Bazaar,9373.05
2025-04-07,HDFC Home Loan,1140.84
2025-07-18,Airtel DTH,9174.6
2025-07-30,HDFC Home Loan,8060.13
2025-06-30,IRCTC,927.66
2025-06-24,Disney+ Hotstar,7840.35
2025-04-22,Zara,6919.93
2025-02-28,Zomato,4584.87
2025-05-31,Cult Fit,5685.75
2025-06-21,Home Centre,7566.81
2025-03-16,School Fee - DPS,1573.72
2025-05-28,Samsung Store,3585.73
2025-03-11,Croma,3605.83
2025-03-29,DishTV,9013.16
2025-07-07,Temple Donation,8188.63
2025-02-17,HDFC Life,4422.88
2025-06-18,Tata Power,9696.11
2025-04-02,PG Rent - Happy Homes,3600.19
2025-03-01,INOX,128.7
2025-06-14,Tuition Fee - Maths,7350.28
2025-03-11,Vijay Sales,622.91
2025-03-15,Gold's Gym,6458.24
2025-03-12,Indian Oil Petrol Pump,8574.63
2025-07-19,Amazon,5971.71
2025-03-11,Delhi Jal Board,3512.51
2025-06-02,HDFC Credit Card Bill,842.4
2025-02-20,Bangalore Water Supply,2368.32
2025-05-01,Ola Ride,7569.13
2025-06-01,Disney+ Hotstar,7736.81
2025-07-08,Doctor Consultation,7737.82
2025-06-09,Gold's Gym,310.59
2025-03-18,BSES Rajdhani,3535.02
2025-07-23,LIC Premium,1257.19
2025-08-10,Monthly Rent - Mr. Sharma,2887.05
2025-04-18,Diagnostic Lab,6858.72
2025-03-15,Apollo Pharmacy,3319.17
2025-07-04,Amazon,3251.59
2025-03-01,Anytime Fitness,4262.04
2025-02-14,Cafe Coffee Day,9835.43
2025-07-06,Charity Trust,450.37
2025-03-19,IRCTC Ticket,2744.92
2025-05-27,HDFC Life,6322.94
2025-04-28,School Fee - DPS,6009.55
2025-05-20,Monthly Rent - Mr. Sharma,6078.3
2025-05-17,Bikanervala,1098.46
2025-07-08,Ola Ride,797.59
2025-02-15,Lays Chips,9341.25
2025-02-16,IRCTC,1515.96
2025-06-10,Tuition Fee - Science,1179.63
2025-08-02,Samsung Store,9980.23
2025-05-15,MedPlus,6281.05
2025-05-11,Zomato,9984.45
2025-03-15,Croma,3469.37
2025-07-25,Taj Hotels,8261.8
2025-03-29,Donation to NGO,3619.92
2025-03-27,HDFC Home Loan,2022.71
2025-03-11,HP Petrol Pump,7474.1
2025-07-31,Axis Bank Car Loan EMI,4031.69
2025-03-10,Yatra,4980.64
2025-08-06,MedPlus,2022.92
2025-04-03,Ola Ride,4087.92
2025-06-12,Axis Bank Car Loan EMI,7577.47
2025-03-03,Tuition Fee - Maths,456.68
2025-03-18,IKEA,3688.64
2025-06-22,Zara,2045.72
2025-06-12,Lays Chips,1429.2
2025-07-30,LIC Premium,3904.04
2025-05-13,Airtel DTH,4164.49
2025-03-27,Swiggy,2901.66
2025-05-09,BSES Rajdhani,9147.75
2025-04-12,College Fee - XYZ University,1033.51
2025-04-18,HDFC Credit Card Bill,512.61
2025-06-10,Tata Power Bill,7748.53
2025-06-04,Netflix Subscription,4259.06
2025-07-24,Cult Fit,5586.98
2025-05-17,MedPlus,4000.88
2025-08-11,HDFC Credit Card Bill,9284.7
2025-04-19,Bharat Petroleum,7368.16
2025-03-08,College Fee - XYZ University,4286.56
2025-07-30,Bharat Petroleum,9755.5
2025-07-17,HDFC Credit Card Bill,6549.18
2025-03-20,Tuition Fee - Science,4887.6
2025-06-01,SBI General Insurance,8131.16
2025-06-05,HDFC Home Loan,1983.47
2025-05-09,Gold's Gym,5265.37
2025-02-19,Zomato,2624.01
2025-03-11,Adani Electricity,516.45
2025-06-13,MakeMyTrip,8731.35
2025-06-15,Airtel DTH,1140.71
2025-06-29,ITC Hotels,1859.99
2025-07-14,Amazon,4528.55
2025-04-25,Home Centre,4319.12
2025-02-19,Cult Fit,4584.55
2025-07-21,IRCTC Ticket,3665.67
2025-03-18,OYO Rooms,5814.91
2025-06-17,HP Petrol Pump,4347.61
2025-02-25,HDFC Credit Card Bill,4169.55
2025-08-09,HDFC Credit Card Bill,3192.8
2025-02-18,School Fee - DPS,3461.1
2025-07-04,1mg,5427.65
2025-07-23,HDFC Home Loan,4234.57
2025-07-28,Cult Fit,107.76
2025-02-26,IRCTC,4197.13
2025-07-01,Airtel DTH,5263.6
2025-06-30,Zomato,7719.57
2025-08-11,Home Centre,8238.74
2025-02-21,Uber Ride,6858.86
2025-02-21,Local Kirana Store,3388.48
2025-03-29,BSNL Recharge,8920.78
2025-05-24,Reliance Fresh,8357.65
2025-05-13,Flipkart,2406.5
2025-02-18,IRCTC Ticket,9227.71
2025-08-10,Disney+ Hotstar,3689.11
2025-04-24,Myntra,4602.77
2025-05-10,School Fee - DPS,647.1
2025-07-13,Shoppers Stop,5530.41
2025-02-17,IKEA,5737.82
2025-02-26,Doctor Consultation,2104.03
2025-05-18,Redbus,8082.1
2025-05-28,Tuition Fee - Maths,1398.38
2025-04-24,Cleartrip,7496.74
2025-06-10,MakeMyTrip,7321.37
2025-04-11,Bangalore Water Supply,4097.9
2025-04-05,HDFC Life,2874.69
2025-03-05,Tuition Fee - Science,2913.76
2025-02-26,Bikanervala,191.48
2025-07-02,Taj Hotels,5893.73
2025-06-05,Axis Bank Car Loan EMI,6478.32
2025-05-25,HDFC Life,3963.04
2025-03-14,Diagnostic Lab,4773.69
2025-02-24,Monthly Rent - Mr. Sharma,1083.05
2025-04-10,Flipkart,3261.67
2025-04-20,Indian Oil Petrol Pump,9804.97
2025-03-15,1mg,2904.38
2025-07-09,PG Rent - Happy Homes,711.97
2025-06-15,Temple Donation,7434.48
2025-07-18,Anytime Fitness,8428.73
2025-08-03,Yatra,7246.83
2025-06-29,Redbus,9611.07
2025-02-13,Tata Sky,1367.6
2025-07-18,DishTV,5219.29
2025-07-28,Indian Oil,6605.66
2025-08-04,Ola Ride,3607.31
2025-08-09,Apollo Pharmacy,6058.21
2025-05-29,Local Kirana Store,8948.25
2025-06-06,DishTV,9345.78
2025-07-17,BSES Bill Payment,5281.16
2025-02-23,Tata Power,7660.61
2025-06-22,H&M,5154.63
2025-02-22,Uber Ride,5248.17
2025-04-17,Sony LIV,3009.82
2025-03-01,Shoppers Stop,2403.85
2025-07-17,Delhi Jal Board,9391.92
2025-07-27,Bangalore Water Supply,6040.19
2025-08-11,PG Rent - Happy Homes,2655.91
2025-02-24,Zara,1566.76
2025-05-06,Ola Ride,8024.48
2025-05-30,Croma,439.27
2025-06-29,Croma,2841.9
2025-07-01,Amazon,3752.29
2025-08-05,SBI Card Payment,3145.47
2025-07-29,Disney+ Hotstar,2006.84
2025-03-10,HDFC Home Loan,1962.93
2025-05-03,Zomato,1196.8
2025-07-07,Croma,1143.64
2025-04-01,Bharat Petroleum,3475.38
2025-04-22,Netflix Subscription,6952.49
2025-04-11,Apollo Pharmacy,6226.25
2025-03-10,Axis Bank Car Loan EMI,8553.29
2025-02-24,Haldiram's,595.92
2025-03-11,BSES Bill Payment,1014.03
2025-06-29,BSES Bill Payment,729.44
2025-05-10,Monthly Rent - Mr. Sharma,4866.25
2025-03-23,DMart,8423.68
2025-08-08,1mg,4012.52
2025-03-01,Apollo Pharmacy,5759.56
2025-05-25,Lays Chips,3048.39
2025-02-27,Pantaloons,7370.99
2025-05-09,Airtel DTH,9135.79
2025-05-20,HP Petrol Pump,4310.08
2025-05-04,Swiggy,9463.92
2025-06-30,Tata Power Bill,4344.91
2025-02-25,Lays Chips,5248.02
2025-04-17,HDFC Home Loan,674.35
2025-08-05,PG Rent - Happy Homes,6237.88
2025-04-23,Cult Fit,3032.91
2025-05-02,Axis Bank Car Loan EMI,659.86
2025-04-10,BSNL Recharge,3692.01
